"objectid","property_id","property_name","longitude","latitude","acres","squarefeet","perimeterlength","propertytype","address","city","state","zipcode","complex","psa","ownership","supdist","land_id","analysis_neighborhood","state_senate","mons_neighborhood","police_district","us_congress","realtor_neighborhood","state_assembly","planning_neighborhood","shape","created_date","last_edited_date","data_as_of","data_loaded_at"
"1","137671","Herz Playground","-122.41659553","37.71350451","6.99670997","304,777.90557355","2,274.17989609","Neighborhood Park or Playground","1701 Visitacion Ave","San Francisco","CA","94134","Crocker Complex","PSA3","Recreation & Park","10","779","McLaren Park, Visitacion Valley","11","McLaren Park, Visitacion Valley","INGLESIDE","12","Visitacion Valley","17","Visitacion Valley","MULTIPOLYGON (((-122.415415277 37.713436563, -122.415411067 37.713447359, -122.415409683 37.713452904, -122.415408529 37.713461334, -122.415408377 37.713466985, -122.415408723 37.713472634, -122.415410171 37.713481035, -122.415411308 37.713485178, -122.415413243 37.713490621, -122.415417031 37.71349855, -122.415420129 37.71350364, -122.415423664 37.71350855, -122.415428678 37.71351439, -122.415434418 37.713519955, -122.415666154 37.71360283, -122.415883786 37.71373354, -122.416121963 37.713936363, -122.416258231 37.714150479, -122.416317116 37.714318162, -122.416327065 37.714482067, -122.416305096 37.714672344, -122.416770575 37.714583398, -122.416861752 37.714534539, -122.417106932 37.714345197, -122.417428817 37.713937247, -122.417680625 37.713560854, -122.417664586 37.713086518, -122.417663053 37.713041149, -122.415856976 37.712529423, -122.41583929 37.712569173, -122.415805726 37.712559658, -122.415415277 37.713436563)))","2013/05/24 01:57:32 AM","2025/02/06 11:04:14 AM","2025/02/06 11:04:14 AM","2025/12/04 08:06:17 PM"
"4","11559","City Hall","-122.41926539","37.77914173","0.80652683","35,132.44912699","3,580.65596613","Other Non-Park Property","1 Carlton B. Goodlett Place","San Francisco","CA","94102","Civic Center/Potrero Hill Complex","PSA2","Real Estate","5","173","Tenderloin","11","Civic Center","NORTHERN","12","Van Ness/Civic Center","17","Downtown/Civic Center","MULTIPOLYGON (((-122.419832521 37.779072713, -122.419724925 37.778533202, -122.419699709 37.778527334, -122.419669142 37.778518409, -122.419641068 37.77850421, -122.419619626 37.778490946, -122.419608914 37.778484842, -122.419351128 37.778517214, -122.419340702 37.778518523, -122.419360823 37.778633353, -122.419380842 37.778642451, -122.419517582 37.778625569, -122.419538897 37.7786336, -122.419541938 37.77864925, -122.419569571 37.778646708, -122.419571376 37.778665525, -122.419588758 37.778674659, -122.419612384 37.77867009, -122.419619521 37.778690912, -122.419630063 37.77869074, -122.419633133 37.778707444, -122.419653183 37.77871758, -122.419728358 37.779074409, -122.4197166 37.779078786, -122.419714098 37.779084063, -122.419731508 37.779094248, -122.419731155 37.779080641, -122.419740101 37.779079401, -122.419765332 37.7790759, -122.419767027 37.779090527, -122.419780132 37.779087175, -122.41978551 37.779091272, -122.419785702 37.7790986, -122.419802812 37.779097274, -122.419802595 37.779088902, -122.419811476 37.779075147, -122.419832521 37.779072713)), ((-122.418849587 37.778695666, -122.418827802 37.778582758, -122.418818598 37.778583926, -122.418539817 37.778619269, -122.41852967 37.778637223, -122.418512494 37.778657158, -122.418491711 37.778674341, -122.418598852 37.779215487, -122.418611819 37.779215276, -122.418628446 37.779219686, -122.418638023 37.77922515, -122.418649955 37.779230569, -122.418656115 37.779240765, -122.418681872 37.779239586, -122.418687918 37.779239313, -122.418596206 37.778839256, -122.418616249 37.77883893, -122.418612182 37.778818401, -122.418632145 37.778815267, -122.41862936 37.778798463, -122.418650547 37.778797186, -122.41864908 37.778785974, -122.418666667 37.778781946, -122.418662674 37.778764225, -122.418688459 37.778758191, -122.418688048 37.778742287, -122.418703009 37.778728003, -122.418829955 37.778711895, -122.418849587 37.778695666)), ((-122.419991301 37.779857413, -122.419938392 37.779596543, -122.419866036 37.779604003, -122.419842006 37.779592878, -122.419792085 37.77934557, -122.419780354 37.779350996, -122.419850227 37.779706858, -122.419837288 37.779716492, -122.419836509 37.779737443, -122.419835597 37.779753161, -122.419818592 37.779758673, -122.419812162 37.77976506, -122.419815126 37.779777575, -122.419798037 37.779779947, -122.419798415 37.779794596, -122.419782594 37.779794855, -122.419783055 37.779812645, -122.419771297 37.779817024, -122.419764757 37.779819225, -122.419764947 37.77982655, -122.419638777 37.779844309, -122.419658528 37.779842939, -122.419672497 37.779846239, -122.419691707 37.779850775, -122.419720956 37.77985972, -122.419754381 37.779876975, -122.41979052 37.779897324, -122.419816327 37.779926218, -122.419824753 37.779945972, -122.419903619 37.779935265, -122.41992019 37.779913011, -122.419943438 37.779893787, -122.41996149 37.77987779, -122.419980999 37.779867002, -122.419991301 37.779857413)), ((-122.419050905 37.779914821, -122.41882051 37.779943843, -122.418740084 37.779523946, -122.418756176 37.779507771, -122.418737339 37.779509015, -122.418729307 37.77951757, -122.41877278 37.779739633, -122.418709365 37.779750025, -122.418766298 37.780036455, -122.418829741 37.780072863, -122.418930877 37.780061857, -122.418929359 37.780048777, -122.4189302 37.780035659, -122.418934626 37.780024354, -122.418944848 37.780009213, -122.418953892 37.779994089, -122.418963032 37.779982708, -122.418975613 37.779967527, -122.418996468 37.779953147, -122.419011503 37.779941672, -122.419034717 37.779927252, -122.419041364 37.779922149, -122.419050905 37.779914821)), ((-122.419883811 37.779322091, -122.41986406 37.77932346, -122.419858624 37.779317266, -122.419849288 37.779313231, -122.419834729 37.779311374, -122.419842376 37.77935208, -122.41982957 37.779366945, -122.419870336 37.779566244, -122.419890383 37.779576385, -122.419932496 37.779572559, -122.419883811 37.779322091)), ((-122.418691336 37.779462963, -122.418656696 37.779491608, -122.418702748 37.779722052, -122.418741869 37.779717128, -122.418695574 37.779490038, -122.418713038 37.77948133, -122.418696608 37.779484404, -122.418691336 37.779462963)), ((-122.41926125 37.778557504, -122.41925654 37.778528265, -122.419248782 37.778529296, -122.419247576 37.778529458, -122.419157954 37.778541386, -122.419151628 37.778551958, -122.419144346 37.778557313, -122.419139978 37.778560525, -122.419140369 37.77856403, -122.419145129 37.778606505, -122.419170613 37.778622841, -122.419204807 37.778619145, -122.419225799 37.778614615, -122.419241401 37.778605983, -122.419250439 37.778598509, -122.419258053 37.778586872, -122.419256385 37.778573285, -122.419258777 37.778563827, -122.41926125 37.778557504)), ((-122.419043791 37.778615483, -122.419036175 37.778575823, -122.419027378 37.778573304, -122.419018896 37.778570872, -122.419010717 37.778560536, -122.419003493 37.778561613, -122.418921741 37.778573798, -122.418916113 37.778574638, -122.418916196 37.778575912, -122.418918268 37.778607058, -122.418926235 37.778609021, -122.418927878 37.778621557, -122.418934765 37.778632965, -122.418942869 37.778640158, -122.418957479 37.778644111, -122.418970719 37.778645987, -122.418981293 37.778646862, -122.418990517 37.778646713, -122.418997087 37.778645558, -122.419012881 37.778644256, -122.419022004 37.778639916, -122.419033594 37.778629258, -122.419037418 37.778623963, -122.419038628 37.778619752, -122.419038493 37.778614522, -122.419043791 37.778615483)), ((-122.419324355 37.780000229, -122.419317299 37.77995541, -122.419310748 37.779958156, -122.41931695 37.779997543, -122.419296126 37.780008536, -122.419012089 37.780048601, -122.419011897 37.780047445, -122.419020898 37.780031529, -122.419014388 37.780029619, -122.41900478 37.780046616, -122.419006175 37.780055015, -122.419298754 37.780013748, -122.419305411 37.780010235, -122.419312752 37.780006352, -122.419324355 37.780000229)), ((-122.419742971 37.779953161, -122.4197249 37.77993848, -122.419714497 37.779939463, -122.419720423 37.779942704, -122.419728779 37.779949494, -122.419450593 37.779986814, -122.419431616 37.779977459, -122.419424403 37.779941065, -122.419417132 37.77993975, -122.419425274 37.779980796, -122.419434685 37.779985443, -122.41944283 37.779989456, -122.419449161 37.779992578, -122.419742971 37.779953161)))","2013/05/24 01:57:32 AM","2025/02/06 11:04:14 AM","2025/02/06 11:04:14 AM","2025/12/04 08:06:17 PM"
"5","11476","Merced Branch Library","-122.47449444","37.72661671","0.30769532","13,403.26170521","467.90930349","Library","155 Winston Drive","San Francisco","CA","94132","Lake Merced Complex","PSA4","Public Library","7","195","West of Twin Peaks","11","Stonestown","TARAVAL","14","Lakeside","19","Lakeshore","MULTIPOLYGON (((-122.474472703 37.726793505, -122.474605409 37.72679816, -122.474631734 37.726797858, -122.474652968 37.726790183, -122.474661989 37.726783145, -122.474668603 37.72677459, -122.474672709 37.726763596, -122.474689306 37.726457922, -122.474469188 37.726449618, -122.474469956 37.726437528, -122.474305169 37.7264335, -122.47430757 37.726472226, -122.474309656 37.726505833, -122.474316592 37.726678168, -122.474317394 37.726707279, -122.474307673 37.726706816, -122.474310635 37.726777506, -122.474351337 37.726776442, -122.474361332 37.726781805, -122.474374974 37.726786881, -122.474400822 37.726790982, -122.474446652 37.726792589, -122.474472703 37.726793505)))","2013/05/24 01:57:32 AM","2025/02/25 10:38:13 AM","2025/02/25 10:38:13 AM","2025/12/04 08:06:17 PM"
"6","11485","Presidio Library Mini Park","-122.4448619","37.78892984","0.67872105","29,565.20733137","1,118.66905103","Library","3150 Sacramento St","San Francisco","CA","94115","Marina Complex","PSA1","Public Library","2","206","Pacific Heights","11","Pacific Heights","RICHMOND","12","Pacific Heights","19","Pacific Heights","MULTIPOLYGON (((-122.444616287 37.788874908, -122.444630278 37.788944054, -122.444643997 37.789011841, -122.444701078 37.789293936, -122.445170906 37.789234132, -122.445100105 37.788884238, -122.445030038 37.788538002, -122.444560218 37.788597817, -122.444616287 37.788874908), (-122.444984048 37.788934298, -122.444965661 37.788936828, -122.444967629 37.788948948, -122.444935686 37.788953508, -122.44484467 37.788966699, -122.444843121 37.788957133, -122.444823625 37.788957832, -122.444805733 37.788958363, -122.444801693 37.788933486, -122.444798018 37.788920889, -122.444794521 37.788904388, -122.444742275 37.78890973, -122.444710006 37.788781387, -122.444836879 37.788762582, -122.444835526 37.788754288, -122.444914097 37.788744965, -122.444915339 37.788752618, -122.445004845 37.788740228, -122.445024885 37.788736201, -122.445048732 37.788859597, -122.445031378 37.788875846, -122.444974856 37.788882715, -122.444978066 37.788902485, -122.444980835 37.788914525, -122.444984048 37.788934298)))","2013/05/24 01:57:32 AM","2025/02/25 10:38:16 AM","2025/02/25 10:38:16 AM","2025/12/04 08:06:17 PM"
"7","11469","Eureka Valley Branch Library","-122.43197454","37.76401373","0.43147927","18,795.31234328","548.38392562","Neighborhood Park or Playground","3555 16th St","San Francisco","CA","94114","Buena Vista Complex","PSA5","Recreation & Park","8","202","Castro/Upper Market","11","Castro","MISSION","12","Eureka Valley / Dolores Heights","17","Castro/Upper Market","MULTIPOLYGON (((-122.432192223 37.763811052, -122.431720792 37.76383957, -122.431720801 37.763839672, -122.43169912 37.763840988, -122.431738083 37.764252033, -122.431740746 37.764255925, -122.431744147 37.764259437, -122.4317482 37.76426248, -122.431752805 37.764264981, -122.431757848 37.764266876, -122.431763203 37.764268119, -122.431763928 37.764268212, -122.431766257 37.764268515, -122.431769343 37.764268697, -122.432020865 37.764252067, -122.432237075 37.764237772, -122.432241424 37.764237484, -122.432244864 37.764237278, -122.432248217 37.764236634, -122.432251395 37.76423557, -122.432254317 37.764234114, -122.432256903 37.764232302, -122.43225909 37.764230185, -122.432260818 37.764227814, -122.432262042 37.764225254, -122.43226273 37.764222571, -122.432262866 37.764219834, -122.432259595 37.76418574, -122.432223475 37.763809156, -122.432192223 37.763811052)))","2013/05/24 01:57:32 AM","2025/10/29 02:18:13 PM","2025/10/29 02:18:13 PM","2025/12/04 08:06:17 PM"
"9","158","Joost & Baden Mini Park","-122.4408549","37.73273784","0.14135551","6,157.47062377","540.35464677","Mini Park","246 Joost Ave","San Francisco","CA","94131","Glen Park Complex","PSA5","PUC/Clean Water Program","8","258","West of Twin Peaks","11","Sunnyside","INGLESIDE","12","Sunnyside","17","Outer Mission","MULTIPOLYGON (((-122.440803227 37.732429164, -122.440808457 37.73262527, -122.44081939 37.733035076, -122.440819959 37.733056434, -122.440820458 37.733075118, -122.44090684 37.73307456, -122.440906377 37.733056189, -122.440905287 37.733012777, -122.440905134 37.733006776, -122.440903452 37.732939953, -122.440900027 37.732803932, -122.440898856 37.732757336, -122.440893774 37.732555506, -122.4408915 37.732465225, -122.440890359 37.732419919, -122.440889905 37.732401832, -122.440802507 37.732402263, -122.440803227 37.732429164)))","2013/05/24 01:57:32 AM","2025/02/06 11:04:14 AM","2025/02/06 11:04:14 AM","2025/12/04 08:06:17 PM"
"10","96","Fulton Playground","-122.48694726","37.77338725","0.92342215","40,224.42986087","836.30678894","Neighborhood Park or Playground","855 27th Ave","San Francisco","CA","94121","Richmond Complex","PSA1","Recreation & Park","1","48","Outer Richmond","11","Outer Richmond","RICHMOND","12","Central Richmond","19","Outer Richmond","MULTIPOLYGON (((-122.487395396 37.7731604, -122.487343584 37.773162768, -122.486929088 37.77318171, -122.486521084 37.773200354, -122.486469271 37.773202723, -122.4864935 37.773536295, -122.486499145 37.773613991, -122.486550957 37.773611623, -122.486958963 37.773592977, -122.487373464 37.773574036, -122.487425276 37.773571668, -122.487436293 37.773571164, -122.487406414 37.773159896, -122.487395396 37.7731604)))","2017/05/01 01:18:59 PM","2025/02/26 04:49:03 PM","2025/02/26 04:49:03 PM","2025/12/04 08:06:17 PM"
"11","16","Randolph & Bright Mini Park","-122.463681","37.7145015","0.13033013","5,677.20328532","300.07833741","Mini Park","100 Randolph St","San Francisco","CA","94132","Lake Merced Complex","PSA4","Recreation & Park","11","10","Oceanview/Merced/Ingleside","11","Merced Heights","TARAVAL","14","Ingleside Heights","19","Ocean View","MULTIPOLYGON (((-122.463605689 37.714381979, -122.463604965 37.714382009, -122.463604244 37.71438205, -122.463603522 37.714382099, -122.463602802 37.71438216, -122.463602084 37.714382231, -122.463601367 37.714382312, -122.463600651 37.714382402, -122.463599938 37.714382501, -122.463599228 37.714382611, -122.46359852 37.714382731, -122.463597815 37.71438286, -122.463597111 37.714383, -122.463596412 37.71438315, -122.463595718 37.714383309, -122.463595025 37.714383477, -122.463594335 37.714383655, -122.463593652 37.714383842, -122.463592971 37.71438404, -122.463592296 37.714384246, -122.463591624 37.714384462, -122.463590957 37.714384687, -122.463590297 37.714384921, -122.46358964 37.714385164, -122.463588991 37.714385416, -122.463588345 37.714385677, -122.463587708 37.714385949, -122.463587073 37.714386228, -122.463586447 37.714386515, -122.463585825 37.714386812, -122.463585212 37.714387117, -122.463584605 37.71438743, -122.463584004 37.714387753, -122.463583411 37.714388083, -122.463582827 37.71438842, -122.463582247 37.714388767, -122.463581678 37.714389122, -122.463581117 37.714389483, -122.463580561 37.714389854, -122.463580016 37.714390232, -122.463579477 37.714390617, -122.463578947 37.714391009, -122.463578427 37.714391408, -122.463577915 37.714391816, -122.463577412 37.714392229, -122.463576919 37.71439265, -122.463576434 37.714393078, -122.46357596 37.714393512, -122.463575496 37.714393953, -122.46357504 37.7143944, -122.463574594 37.714394854, -122.46357416 37.714395314, -122.463573733 37.714395779, -122.463573318 37.714396251, -122.463572914 37.714396727, -122.463572519 37.714397211, -122.463572136 37.714397698, -122.463571764 37.714398191, -122.463571402 37.71439869, -122.463571052 37.714399192, -122.463570712 37.714399701, -122.463570383 37.714400214, -122.463570067 37.71440073, -122.46356976 37.714401253, -122.463569467 37.714401776, -122.463569183 37.714402307, -122.463568912 37.714402841, -122.463568655 37.714403378, -122.463568406 37.714403918, -122.463568172 37.714404462, -122.463567948 37.714405008, -122.463567737 37.714405558, -122.463567538 37.714406113, -122.463567351 37.714406669, -122.463567175 37.714407225, -122.463567012 37.714407787, -122.463566863 37.714408348, -122.463566725 37.714408914, -122.463566599 37.714409481, -122.463566487 37.714410049, -122.463566387 37.714410619, -122.4635663 37.71441119, -122.463566223 37.71441176, -122.46356616 37.714412334, -122.463566109 37.714412909, -122.463566074 37.714413482, -122.463566047 37.714414058, -122.463566035 37.714414632, -122.463566036 37.714415208, -122.463568433 37.714621191, -122.46362029 37.714620793, -122.463708681 37.714620113, -122.463795104 37.714619453, -122.46379289 37.714413482, -122.463792535 37.714380528, -122.463607119 37.714381948, -122.463606412 37.714381959, -122.463605689 37.714381979)))","2013/05/24 01:57:32 AM","2025/02/06 11:04:14 AM","2025/02/06 11:04:14 AM","2025/12/04 08:06:17 PM"
"13","73","Seward Mini Park","-122.44006548","37.7576254","0.41645266","18,140.75038695","702.02354916","Mini Park","70 Corwin St","San Francisco","CA","94114","Buena Vista Complex","PSA5","Recreation & Park","8","67","Twin Peaks","11","Eureka Valley","MISSION","12","Eureka Valley / Dolores Heights","17","Castro/Upper Market","MULTIPOLYGON (((-122.43971273 37.757887057, -122.439668285 37.757946713, -122.439801144 37.757995837, -122.439850757 37.757942752, -122.440073202 37.757704739, -122.440110638 37.75772976, -122.44043152 37.757485266, -122.440451859 37.757469769, -122.440450187 37.757467802, -122.440448454 37.757465838, -122.44044668 37.7574639, -122.440444863 37.757461986, -122.440443005 37.757460098, -122.440441105 37.757458235, -122.440439165 37.757456399, -122.440437183 37.757454592, -122.440435164 37.75745281, -122.440433105 37.757451059, -122.440431006 37.757449335, -122.440428871 37.75744764, -122.440426701 37.757445976, -122.440424491 37.757444342, -122.440422248 37.757442738, -122.44041997 37.757441167, -122.440417656 37.757439626, -122.440415311 37.757438118, -122.440415056 37.757437958, -122.440207088 37.757307173, -122.440204231 37.757305406, -122.440201333 37.757303681, -122.440198398 37.757301994, -122.440196916 37.757301174, -122.440181162 37.757318897, -122.440012369 37.757508795, -122.439925773 37.757606217, -122.439902102 37.757632857, -122.43971273 37.757887057)))","2013/05/24 01:57:32 AM","2025/02/06 11:04:14 AM","2025/02/06 11:04:14 AM","2025/12/04 08:06:17 PM"
"15","35","Dogpatch - Miller Memorial Garden","-122.40717609","37.74504697","0.30290238","13,194.48058128","503.88995057","Neighborhood Park or Playground","114 Brewster St","San Francisco","CA","94110","Bernal/St. Mary's Complex","PSA6","Recreation & Park","9","856","Bernal Heights","11","Peralta Heights","INGLESIDE","12","Bernal Heights","17","Bernal Heights","MULTIPOLYGON (((-122.4069546 37.744884753, -122.406877363 37.745079228, -122.407034662 37.745118486, -122.407150138 37.745147311, -122.407282118 37.745180251, -122.407381102 37.745204956, -122.40743058 37.745217346, -122.407507812 37.74502287, -122.407458333 37.745010478, -122.407227376 37.744952835, -122.4069546 37.744884753)))","2013/05/24 01:57:32 AM","2025/03/11 10:45:53 AM","2025/03/11 10:45:53 AM","2025/12/04 08:06:17 PM"
