"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"Time After Time","1979","Lombard & Broderick Streets (Marina District)",,"Orion Pictures Corp.","Columbia Broadcasting System (CBS)","Nicholas Meyer","Karl Alexander","Malcolm McDowell","Mary Steenburgen","David Warner","POINT (-122.4443547 37.7988553)","-122.4443547","37.7988553","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Experiment in Terror","1962","The Sea Captain's Chest (Fisherman's Wharf)",,"Columbia Pictures Corporation","Columbia Pictures","Blake Edwards","The Gordons","Glenn Ford","Lee Remick","Stefanie Powers","POINT (-122.4159393 37.8081009)","-122.4159393","37.8081009","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Time After Time","1979","Lombard & Divisadero Streets (Marina District)",,"Orion Pictures Corp.","Columbia Broadcasting System (CBS)","Nicholas Meyer","Karl Alexander","Malcolm McDowell","Mary Steenburgen","David Warner","POINT (-122.4426736 37.7990728)","-122.4426736","37.7990728","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Bachelor","1999","Danilo's Bakery (Green Street & Bannam Place)",,"George Street Pictures","New Line Cinema","Gary Sinyor","Steve Cohen","Chris O'Donnell","Renee Zellweger",,"POINT (-122.4078578 37.7997928)","-122.4078578","37.7997928","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom","2018","Hyde St at Chestnut St",,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing","Ruben Fleischer","Jeff Pinkner, Scott Rosenberg","Tom Hardy","Michelle Wiliams","Riz Ahmed","POINT (-122.4198242 37.8029324)","-122.4198242","37.8029324","Russian Hill","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Tales of the City","2019","Grant and Green St",,"Universal Television LLC","Netflix","Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley","Laura Linney","Ellen Page","Murray Bartlett","POINT (-122.4075285 37.7998307)","-122.4075285","37.7998307","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Dirty Harry","1971","St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","The Malpaso Company","Warner Brothers","Don Siegel","Harry Julian Fink","Clint Eastwood","Harry Guardino",,"POINT (-122.4101808 37.8016649)","-122.4101808","37.8016649","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chef Dynasty: House of Fang","2022","660 Howard, Fang Chinese Restaurant",,"Quidnet Media, LLC","Food Network",,,"Lillian Phan","Long Vo","Christy-Anne Lopez","POINT (-122.3998015 37.785756)","-122.3998015","37.785756","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Milk","2008","City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Focus Features","Focus Features","Gus Van Sant","Dustin Lance Black","Sean Penn","Emile Hirsch",,"POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Diary of a Teenage Girl","2015","SPECS' Twelve Adler Museum Café",,"Diary the Movie, LLC","Sony Pictures Classics","Marielle Heller","Marielle Heller","Alexander Skarsgard","Kristen Wiig","Christopher Meloni","POINT (-122.4060249 37.7976453)","-122.4060249","37.7976453","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Getting Even with Dad","1994","California & Grant Streets",,"Metro-Goldwyn-Mayer (MGM)","Metro-Goldwyn-Mayer (MGM)","Howard Dutch","Tom S. Parker","Macaulay Culkin","Ted Danson",,"POINT (-122.4059509 37.7924672)","-122.4059509","37.7924672","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Cherish","2002","387 Fair Oaks at 25th Street",,"3 Ring Circus Films","Fine Line Features","Finn Taylor","Finn Taylor","Brad Hunt","Robin Tunney",,"POINT (-122.4236094 37.7506147)","-122.4236094","37.7506147","Mission","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Forrest Gump","1994","Palace of Fine Arts (3301 Lyon Street)","The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.","Paramount Pictures","Paramount Pictures","Robert Zemeckis","Eric Roth","Tom Hanks","Robin Wright",,"POINT (-122.4491285 37.8026694)","-122.4491285","37.8026694","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The OA Part II","2019","Hyde St at Pacific to Washington St",,"Lunar Mining LLC","Netflix","Zal Batmanglij","Zal Batmanglij, Brit Marling","Brit Marling","Emory Cohen","Patrick Gibson",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Fearless","1993","Kohl Building (400 Montgomery Street)",,"Spring Creek Productions","Warner Bros. Pictures","Peter Weir","Rafael Yglesias","Jeff Bridges","Isabella Rosellini","Rosie Perez","POINT (-122.402597 37.7931137)","-122.402597","37.7931137","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","Illinois Street at 20th Street",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.3875896 37.760562)","-122.3875896","37.760562","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom","2018","Edinburgh Castle (950 Geary Street)",,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing","Ruben Fleischer","Jeff Pinkner, Scott Rosenberg","Tom Hardy","Michelle Wiliams","Riz Ahmed","POINT (-122.4189908 37.7862658)","-122.4189908","37.7862658","Tenderloin","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Love Bug","1968","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Walt Disney Productions","Buena Vista Distribution","Robert Stevenson","Bill Walsh","Dean Jones","Michele Lee","David Tomlinson","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance - Season 1 ep105","2016","State Garage, 818 Leavenworth",,"TVM Productions","HULU","Victoria Morrow","Roxann Dawson","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4151417 37.788739)","-122.4151417","37.788739","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Steve Jobs","2015","21st and Sanchez St",,"RDF Productions LLC","Universal Pictures","Danny Boyle","Aaron Sorkin","Michael Fassbender","Kate Winslet","Seth Rogen","POINT (-122.4301214 37.7563756)","-122.4301214","37.7563756","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 1","2014","1541 Grove Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.4420903 37.7752229)","-122.4420903","37.7752229","Lone Mountain/USF","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Organization","1971",,,"The Mirisch Corporation","United Artists","Don Medford","James R. Webb","Sidney Poitier","Barbara McNair",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 1","2014","Berry Street between 3rd and 4th Streets",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.3964021 37.7733908)","-122.3964021","37.7733908","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Fearless","1993","90 Gold Street",,"Spring Creek Productions","Warner Bros. Pictures","Peter Weir","Rafael Yglesias","Jeff Bridges","Isabella Rosellini","Rosie Perez","POINT (-122.4034751 37.7967894)","-122.4034751","37.7967894","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chef Dynasty: House of Fang","2022","Chinatown - Grant Avenue between California and Jackson St",,"Quidnet Media, LLC","Food Network",,,"Lillian Phan","Long Vo","Christy-Anne Lopez","POINT (-122.408083 37.793978)","-122.408083","37.793978","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The House on Telegraph Hill","1951","Market Street",,"Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Robert Wise","Elick Moll","Richard Basehart","Valentina Cortese","William Lundigan","POINT (-122.4212203 37.7735081)","-122.4212203","37.7735081","Mission","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Quitters","2015","21st St & Sanchez",,"Frederick & Ashbury, LLC.",,"Noah Pritzker","Noah Pritzker","Kara Hayward","Mira Sorvino","Saffron Burrows","POINT (-122.4301214 37.7563756)","-122.4301214","37.7563756","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","1400 16th Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.4014061 37.7665652)","-122.4014061","37.7665652","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Terminator - Genisys","2015","Construction Site in front of 260 Stockton St. at Post St.",,"T5 Productions LLC","Paramount Pictures","Alan Taylor","James Cameron","Arnold Schwarzenegger","Jason Clarke",,"POINT (-122.406486 37.7883421)","-122.406486","37.7883421","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Always Be My Maybe","2019","717 Grant Ave",,"Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","POINT (-122.4063975 37.7936544)","-122.4063975","37.7936544","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sonic the Hedgehog","2020","Grid within Montgomery St; Davis St; Pacific St; Bush St",,"Paramount Overseas Productions, Inc.","Paramount Pictures","Jeff Fowler","Josh Miller, Patrick Casey, Oren Uziel","Jim Carrey","James Marsden","Ben Schwartz","POINT (-122.4035145 37.7787489)","-122.4035145","37.7787489","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Boys and Girls","2000","Lombard Street","Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan",,"POINT (-122.4195579 37.8020179)","-122.4195579","37.8020179","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep110","2016","Cliffhouse, 1090 Point Lobos Ave.",,"TVM Productions","HULU","Alexandra Cunningham and Kem Nunn","Michael Lehmann","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.5137962 37.7783123)","-122.5137962","37.7783123","Outer Richmond","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","Jessie Street between 6th Street and Mint",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.4074094 37.7824123)","-122.4074094","37.7824123","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8 - Season 2","2016","Billy Goat Hill, Castro St. & 30th St.","This park was the location of a popular swing with great views of the City.","Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews","POINT (-122.4331318 37.7413462)","-122.4331318","37.7413462","Glen Park","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bicentennial Man","1999","Postcard Row, Alamo Square, Hayes Valley","The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.","1492 Pictures","Buena Vista Pictures","Chris Columbus","Nicholas Kazan","Robin Williams",,,"POINT (-122.4327231 37.7760676)","-122.4327231","37.7760676","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 3","2016","Golden Gate Park",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.482977 37.7689203)","-122.482977","37.7689203","Golden Gate Park","4","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Quitters","2015","Geary from 22nd Ave to Arguello",,"Frederick & Ashbury, LLC.",,"Noah Pritzker","Noah Pritzker","Kara Hayward","Mira Sorvino","Saffron Burrows",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
