id,lat,lon,name,type,operator,route_ref,network,wheelchair,shelter,bench,bus,tram,subway,light_rail
node/6601674032,37.6390233,-122.419056,Sneath Lane & Huntington Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6601674033,37.6378719,-122.4218645,El Camino Real & Sneath Lane,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6601674034,37.6363931,-122.4212126,El Camino Real & Sneath Lane,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6601674035,37.6363585,-122.4213059,El Camino Real & Sneath Lane,bus_stop,San Mateo County Transit District,335079,SamTrans,,no,yes,yes,,,
node/6601674036,37.6315959,-122.4184245,El Camino Real & Interstate 380,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6601674037,37.6315603,-122.4185245,El Camino Real & Interstate 380,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6601674038,37.6293901,-122.4154438,San Bruno Avenue & Green Avenue,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6601674039,37.6294577,-122.4149654,San Bruno Avenue & Green Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6601674040,37.6293919,-122.414925,San Bruno Avenue & Green Avenue,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6601674041,37.6308579,-122.4099071,San Bruno Avenue & 3rd Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6601674042,37.6308722,-122.4088645,San Bruno Avenue & 3rd Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6601674043,37.6308227,-122.408863,San Bruno Avenue & 3rd Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6601674044,37.6309429,-122.409908,San Bruno Avenue & 3rd Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6601681839,37.5970578,-122.3861068,El Camino Real & Murchison Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6601681840,37.5971364,-122.38597,El Camino Real & Murchison Drive,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6603407659,37.6585841,-122.4396035,Kaiser Hospital South San Francisco,public_transport:stop_position,SamTrans;South San Francisco,,SamTrans;South San Francisco,,,,yes,,,
node/6603407660,37.6583556,-122.4394965,Kaiser Hospital South San Francisco,public_transport:stop_position,SamTrans;South San Francisco,,SamTrans;South San Francisco,,,,yes,,,
node/6603407661,37.6582853,-122.4395558,Kaiser Hospital South San Francisco,bus_stop,SamTrans;South San Francisco,,SamTrans;South San Francisco,,,,yes,,,
node/6603407662,37.6586569,-122.4395424,Kaiser Hospital South San Francisco,bus_stop,SamTrans;South San Francisco,,SamTrans;South San Francisco,,,,yes,,,
node/6603407663,37.6532831,-122.4324124,El Camino Real & 1st Street,public_transport:stop_position,SamTrans;South San Francisco,,SamTrans;South San Francisco,,,,yes,,,
node/6603407664,37.6533221,-122.4323279,El Camino Real & 1st Street,bus_stop,SamTrans;South San Francisco,,SamTrans;South San Francisco,,,,yes,,,
node/6603407665,37.6528181,-122.4324412,El Camino Real & Southwood Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603407666,37.65036,-122.4307592,El Camino Real & West Orange Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603407667,37.6503243,-122.4308511,El Camino Real & West Orange Avenue,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603407668,37.6500235,-122.4303575,El Camino Real & West Orange Avenue,public_transport:stop_position,SamTrans;South San Francisco,,SamTrans;South San Francisco,,,,yes,,,
node/6603407669,37.650061,-122.430257,El Camino Real & West Orange Avenue,bus_stop,SamTrans;South San Francisco,,SamTrans;South San Francisco,,,,yes,,,
node/6603407670,37.6460643,-122.4275474,El Camino Real & Country Club Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603407671,37.6456849,-122.4274675,El Camino Real & Country Club Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
