"street_address","city","state","zip_code","artist","year","number_of_districts","cultural_districts","supervisor_district","analysis_neighborhood","the_geom","data_as_of","data_loaded_at"
"2070 Mission Street","San Francisco","California","94110","Cameron Moberg","2017/2018","1","American Indian Cultural District","09","Mission","POINT (-122.419892181 37.763916354)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1233-1235 Divisadero Street","San Francisco","California","94115","Mel Waters","2013/14","0",,"05","Western Addition","POINT (-122.439196514 37.781437232)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"600 Kearny Street","San Francisco","California","94108","Shawn Bullen","2013/14","0",,"03","Chinatown","POINT (-122.404469221 37.793699085)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"925 Larkin Street","San Francisco","California","94109","Jet Martinez","2009/10","0",,"03","Tenderloin","POINT (-122.418481207 37.786444385)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"2400 Cesar Chavez","San Francisco","California","94124","Jason Jagel","2019","0",,"10","Bayview Hunters Point","POINT (-122.401143324 37.749921429)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"65 Oak Grove Street","San Francisco","California","94107","Rattlecan Blasters (Cameron Moberg and Aaron Vickery)","2009/10","2","Leather & LGBTQ Cultural District;SOMA Pilipinas Cultural District","06","South of Market","POINT (-122.401661674 37.777558032)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"4700 3rd Street","San Francisco","California","94124","Eli Lippert","2011/12","1","African American Arts & Cultural District","10","Bayview Hunters Point","POINT (-122.390756887 37.735602907)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"5070 Mission Street","San Francisco","California","94112","Rattlecan Blasters (Cameron Moberg and Aaron Vickery)","2011/12","0",,"11","Outer Mission","POINT (-122.440759357 37.717311817)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"506 Clement Street","San Francisco","California","94118","Bryana Fleming","2011/12","0",,"01","Inner Richmond","POINT (-122.464720582 37.783202581)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"999 Van Ness Avenue","San Francisco","California","94109","Francisco Aquino","2011/12","0",,"02","Western Addition","POINT (-122.421675082 37.784442131)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"209 Jones Street","San Francisco","California","94102","Cameron Moberg","2010/11","0",,"05","Tenderloin","POINT (-122.412488313 37.783155111)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"355 9th Street","San Francisco","California","94103","Katya Kahn","2010/11","2","Leather & LGBTQ Cultural District;SOMA Pilipinas Cultural District","06","South of Market","POINT (-122.410851946 37.77318763)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"754 Washington Street","San Francisco","California","94108","Mel Waters","2014/15","0",,"03","Chinatown","POINT (-122.406207609 37.795211939)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1330 Polk Street","San Francisco","California","94109","Kara Maria","2020","0",,"03","Nob Hill","POINT (-122.420216315 37.789327436)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"3728 Cesar Chavez","San Francisco","California","94110","Cameron Moberg","2013/14","0",,"08","Mission","POINT (-122.423212121 37.748320985)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"2700 24th Street","San Francisco","California","94110","Francisco Aquino","2014/15","1","Calle 24 Latino Cultural District","09","Mission","POINT (-122.406713749 37.753255693)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"398 7th Street","San Francisco","California","94103","Cameron Moberg","2014/15","2","Leather & LGBTQ Cultural District;SOMA Pilipinas Cultural District","06","South of Market","POINT (-122.406580928 37.775541963)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
